,ticker,company_name,industry,full,url,group
142,AFBI,Affinity Bancshares,Banks,AFBI - Affinity Bancshares,https://stockanalysis.com/stocks/AFBI/,1
143,AFCG,AFC Gamma,REIT-Specialty,AFCG - AFC Gamma,https://stockanalysis.com/stocks/AFCG/,1
144,AFG,American Financial Group,Insurance,AFG - American Financial Group,https://stockanalysis.com/stocks/AFG/,1
145,AFI,Armstrong Flooring,Building Products,AFI - Armstrong Flooring,https://stockanalysis.com/stocks/AFI/,1
146,AFIB,Acutus Medical,Medical Devices,AFIB - Acutus Medical,https://stockanalysis.com/stocks/AFIB/,1
147,AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,AFIN - American Finance Trust,https://stockanalysis.com/stocks/AFIN/,1
148,AFL,Aflac,Insurance,AFL - Aflac,https://stockanalysis.com/stocks/AFL/,1
149,AFMD,Affimed N.V.,Biotechnology,AFMD - Affimed N.V.,https://stockanalysis.com/stocks/AFMD/,1
150,AFRM,Affirm Holdings,IT Services,AFRM - Affirm Holdings,https://stockanalysis.com/stocks/AFRM/,1
151,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,AFTR - AfterNext HealthTech Acquisition,https://stockanalysis.com/stocks/AFTR/,1
152,AFYA,Afya,Diversified Consumer Services,AFYA - Afya,https://stockanalysis.com/stocks/AFYA/,1
153,AG,First Majestic Silver,Metals & Mining,AG - First Majestic Silver,https://stockanalysis.com/stocks/AG/,1
154,AGAC,African Gold Acquisition,Blank Check / SPAC,AGAC - African Gold Acquisition,https://stockanalysis.com/stocks/AGAC/,1
155,AGBA,AGBA Acquisition,Blank Check / SPAC,AGBA - AGBA Acquisition,https://stockanalysis.com/stocks/AGBA/,1
156,AGC,Altimeter Growth Corp.,Blank Check / SPAC,AGC - Altimeter Growth Corp.,https://stockanalysis.com/stocks/AGC/,1
157,AGCB,Altimeter Growth 2,Blank Check / SPAC,AGCB - Altimeter Growth 2,https://stockanalysis.com/stocks/AGCB/,1
158,AGCO,AGCO Corporation,Machinery,AGCO - AGCO Corporation,https://stockanalysis.com/stocks/AGCO/,1
159,AGE,AgeX Therapeutics,Biotechnology,AGE - AgeX Therapeutics,https://stockanalysis.com/stocks/AGE/,1
160,AGEN,Agenus,Biotechnology,AGEN - Agenus,https://stockanalysis.com/stocks/AGEN/,1
161,AGFS,AgroFresh Solutions,Chemicals,AGFS - AgroFresh Solutions,https://stockanalysis.com/stocks/AGFS/,1
162,AGFY,Agrify,Machinery,AGFY - Agrify,https://stockanalysis.com/stocks/AGFY/,1
163,AGGR,Agile Growth,Blank Check / SPAC,AGGR - Agile Growth,https://stockanalysis.com/stocks/AGGR/,1
164,AGI,Alamos Gold,Metals & Mining,AGI - Alamos Gold,https://stockanalysis.com/stocks/AGI/,1
165,AGIL,AgileThought,"Data Processing, Hosting, and Related...",AGIL - AgileThought,https://stockanalysis.com/stocks/AGIL/,1
166,AGIO,Agios Pharmaceuticals,Biotechnology,AGIO - Agios Pharmaceuticals,https://stockanalysis.com/stocks/AGIO/,1
167,AGL,Agilon Health,Medical Care Facilities,AGL - Agilon Health,https://stockanalysis.com/stocks/AGL/,1
168,AGLE,Aeglea Biotherapeutics,Biotechnology,AGLE - Aeglea Biotherapeutics,https://stockanalysis.com/stocks/AGLE/,1
169,AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,AGM - Federal Agricultural Mortgage,https://stockanalysis.com/stocks/AGM/,1
170,AGM.A,Federal Agricultural Mortgage,Credit Services,AGM.A - Federal Agricultural Mortgage,https://stockanalysis.com/stocks/AGM.A/,1
171,AGMH,AGM Group Holdings,Capital Markets,AGMH - AGM Group Holdings,https://stockanalysis.com/stocks/AGMH/,1
172,AGNC,AGNC Investment,Mortgage Real Estate Investment Trus...,AGNC - AGNC Investment,https://stockanalysis.com/stocks/AGNC/,1
173,AGO,Assured Guaranty,Insurance,AGO - Assured Guaranty,https://stockanalysis.com/stocks/AGO/,1
174,AGR,Avangrid,Electric Utilities,AGR - Avangrid,https://stockanalysis.com/stocks/AGR/,1
175,AGRI,AgriFORCE Growing Systems,Farm Products,AGRI - AgriFORCE Growing Systems,https://stockanalysis.com/stocks/AGRI/,1
176,AGRO,Adecoagro,Food Products,AGRO - Adecoagro,https://stockanalysis.com/stocks/AGRO/,1
177,AGRX,Agile Therapeutics,Pharmaceuticals,AGRX - Agile Therapeutics,https://stockanalysis.com/stocks/AGRX/,1
178,AGS,PlayAGS,"Hotels, Restaurants & Leisure",AGS - PlayAGS,https://stockanalysis.com/stocks/AGS/,1
179,AGTC,Applied Genetic Technologies,Biotechnology,AGTC - Applied Genetic Technologies,https://stockanalysis.com/stocks/AGTC/,1
180,AGTI,Agiliti,Health Information Services,AGTI - Agiliti,https://stockanalysis.com/stocks/AGTI/,1
181,AGX,Argan,Construction & Engineering,AGX - Argan,https://stockanalysis.com/stocks/AGX/,1
182,AGYS,Agilysys,Software,AGYS - Agilysys,https://stockanalysis.com/stocks/AGYS/,1
183,AHCO,AdaptHealth,Health Care Providers & Services,AHCO - AdaptHealth,https://stockanalysis.com/stocks/AHCO/,1
